fecha,rango_edad,rango_edad_medio,sexo,hospitalizados,fallecidos_acumulado,fallecidos
24/03/2020 0:00,0-9,5,hombres,20,0,0
24/03/2020 0:00,0-9,5,mujeres,15,0,0
24/03/2020 0:00,10-19,15,hombres,7,0,0
24/03/2020 0:00,10-19,15,mujeres,13,1,1
24/03/2020 0:00,20-29,25,hombres,111,3,3
24/03/2020 0:00,20-29,25,mujeres,87,1,1
24/03/2020 0:00,30-39,35,hombres,218,2,2
24/03/2020 0:00,30-39,35,mujeres,213,3,3
24/03/2020 0:00,40-49,45,hombres,477,6,6
24/03/2020 0:00,40-49,45,mujeres,298,3,3
24/03/2020 0:00,50-59,55,hombres,658,14,14
24/03/2020 0:00,50-59,55,mujeres,415,8,8
24/03/2020 0:00,60-69,65,hombres,829,56,56
24/03/2020 0:00,60-69,65,mujeres,602,18,18
24/03/2020 0:00,70-79,75,hombres,1193,137,137
24/03/2020 0:00,70-79,75,mujeres,665,47,47
24/03/2020 0:00,80-89,85,hombres,870,253,253
24/03/2020 0:00,80-89,85,mujeres,600,150,150
24/03/2020 0:00,90 - +,95,hombres,200,85,85
24/03/2020 0:00,90 - +,95,mujeres,201,84,84
25/03/2020 0:00,0-9,5,hombres,24,0,0
25/03/2020 0:00,0-9,5,mujeres,16,0,0
25/03/2020 0:00,10-19,15,hombres,6,0,0
25/03/2020 0:00,10-19,15,mujeres,16,1,0
25/03/2020 0:00,20-29,25,hombres,116,3,0
25/03/2020 0:00,20-29,25,mujeres,99,1,0
25/03/2020 0:00,30-39,35,hombres,226,2,0
25/03/2020 0:00,30-39,35,mujeres,223,3,0
25/03/2020 0:00,40-49,45,hombres,519,7,1
25/03/2020 0:00,40-49,45,mujeres,320,3,0
25/03/2020 0:00,50-59,55,hombres,715,15,1
25/03/2020 0:00,50-59,55,mujeres,457,7,-1
25/03/2020 0:00,60-69,65,hombres,913,59,3
25/03/2020 0:00,60-69,65,mujeres,652,20,2
25/03/2020 0:00,70-79,75,hombres,1313,143,6
25/03/2020 0:00,70-79,75,mujeres,745,48,1
25/03/2020 0:00,80-89,85,hombres,945,269,16
25/03/2020 0:00,80-89,85,mujeres,655,159,9
25/03/2020 0:00,90 - +,95,hombres,219,89,4
25/03/2020 0:00,90 - +,95,mujeres,222,89,5
26/03/2020 0:00,0-9,5,hombres,26,0,0
26/03/2020 0:00,0-9,5,mujeres,19,0,0
26/03/2020 0:00,10-19,15,hombres,12,0,0
26/03/2020 0:00,10-19,15,mujeres,21,1,0
26/03/2020 0:00,20-29,25,hombres,155,4,1
26/03/2020 0:00,20-29,25,mujeres,144,0,-1
26/03/2020 0:00,30-39,35,hombres,347,3,1
26/03/2020 0:00,30-39,35,mujeres,294,4,1
26/03/2020 0:00,40-49,45,hombres,765,9,2
26/03/2020 0:00,40-49,45,mujeres,528,10,7
26/03/2020 0:00,50-59,55,hombres,1160,28,13
26/03/2020 0:00,50-59,55,mujeres,775,7,0
26/03/2020 0:00,60-69,65,hombres,1546,73,14
26/03/2020 0:00,60-69,65,mujeres,1087,41,21
26/03/2020 0:00,70-79,75,hombres,2139,219,76
26/03/2020 0:00,70-79,75,mujeres,1224,84,36
26/03/2020 0:00,80-89,85,hombres,1473,364,95
26/03/2020 0:00,80-89,85,mujeres,1045,230,71
26/03/2020 0:00,90 - +,95,hombres,324,128,39
26/03/2020 0:00,90 - +,95,mujeres,375,121,32
